official,office,fonction,direction,date,lobby,lobby_id,subject,location,canceled,source
Jean-Claude Juncker,President,Commissioner,,2015-11-05,Bundesverband der Deutschen Volksbanken und Raiffeisenbanken (BVR),22330076571-75,Address to the Wirtschaftstag of the Volksbanken Raiffeisenbanken "Prosperity – Liberty – Security: Scenarios for a Changing World","Germany, Franfurt am Main",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
Jean-Claude Juncker,President,Commissioner,,2015-10-29,ΣΕΒ σύνδεσμος επιχειρήσεων και βιομηχανιών (ΣΕΒ (SEV)),59395037733-93,Meeting with Mr Theodoros Fessas on Economic Situation in Greece,"Brussels, Belgium",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
Jean-Claude Juncker,President,Commissioner,,2015-10-12,British Bankers' Association (BBA),5897733662-75,Meeting with senior bank representatives on current financial regulation issues,"Brussels, Belgium",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
Jean-Claude Juncker,President,Commissioner,,2015-10-01,ENGIE (ENGIE),90947457424-20,Meeting with Mr Etienne Davignon on political priorities of this Commission,"Brussels, Belgium",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
Jean-Claude Juncker,President,Commissioner,,2015-09-29,EUROPEAN TRADE UNION CONFEDERATION (ETUC),06698681039-26,Opening speech at the Congress of the European Trade Union Confederation,"Paris, France",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
Jean-Claude Juncker,President,Commissioner,,2015-09-22,Atomium Culture (AC),604316917419-28,"Meeting with Mr d'Estaing, Mr Bonvicini and Ms Widegren on the REIsearch initiative","Brussels, Belgium",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
Jean-Claude Juncker,President,Commissioner,,2015-09-22,Confédération Française Démocratique du Travail (CFDT),584162614015-63,Meeting with Mr Laurent Berger on Economic and Social Agenda,"Brussels, Belgium",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
Jean-Claude Juncker,President,Commissioner,,2015-09-21,Ενωση Περιφερειων Ελλαδας (ΕΝΠΕ),072659518836-70,"Meeting with Mr Konstantinos Agorastos on the situation in the Greek Regions, the European Fund for Strategic Investments and EU structural funds","Brussels, Belgium",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
Jean-Claude Juncker,President,Commissioner,,2015-09-17,CAISSE DES DEPOTS (CDC),84606487324-44,Meeting with Mr Pierre-René Lemas on the European Fund for Strategic Investments and the activities of national promotional banks,"Brussels, Belgium",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
Jean-Claude Juncker,President,Commissioner,,2015-09-17,Association des maires de France (AMF),570043718684-31,Meeting with Mr François Baroin on Investment Plan for Europe,"Brussels, Belgium",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2
Jean-Claude Juncker,President,Commissioner,,2015-09-10,Union of European Football Associations (UEFA),39217046408-27,Meeting with Mr Michel Platini on Sport and the Digital Single Market,"Brussels, Belgium",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2&d-6679426-p=2
Jean-Claude Juncker,President,Commissioner,,2015-07-13,Bundesvereinigung der Deutschen Arbeitgeberverbände e.V. (BDA) ,7749519702-29,The European social dialogue,"Brussels, Belgium",True,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2&d-6679426-p=2
Jean-Claude Juncker,President,Commissioner,,2015-06-05,European Construction Industry Federation (FIEC),92221016212-42,Speech: Overview of the Commission's Political Priorities,"Hotel Radisson Blue, Brussels",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2&d-6679426-p=2
Jean-Claude Juncker,President,Commissioner,,2015-06-01,European Round Table of Industrialists (ERT),25487567824-45,Digital Single Market,Berlin,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2&d-6679426-p=2
Jean-Claude Juncker,President,Commissioner,,2015-05-08,ENGIE (ENGIE),90947457424-20,Meeting with Etienne Davignon on political priorities of this Commission,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2&d-6679426-p=2
Jean-Claude Juncker,President,Commissioner,,2015-05-06,Bundesverband Deutscher Zeitungsverleger (BDZV),201132116888-24,Speech on free and independent press in Europe,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2&d-6679426-p=2
Jean-Claude Juncker,President,Commissioner,,2015-04-30,"Joachim Bitterlich, Ambassadeur e.r., Professeur (affilié) à l'ESCP Europe Paris",681040317184-73,Meeting with Joachim Bitterlich on political priorities and Investment Plan,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2&d-6679426-p=2
Jean-Claude Juncker,President,Commissioner,,2015-04-17,Deutsche Bank AG (DB),271912611231-56,Meeting with Luc Frieden on Jobs and Growth agenda of the new Commission,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2&d-6679426-p=2
Jean-Claude Juncker,President,Commissioner,,2015-03-24,Kofi Annan Foundation,961873216116-63,Meeting with Kofi Annan,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2&d-6679426-p=2
Jean-Claude Juncker,President,Commissioner,,2015-03-23,EUROPEAN TRADE UNION CONFEDERATION (ETUC),06698681039-26,Meeting with Bernadette Segol - General Secretary ETUC,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2&d-6679426-p=2
Jean-Claude Juncker,President,Commissioner,,2015-03-20,Open Society European Policy Institute (OSEPI),8557515321-37,Meeting with George Soros,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2&d-6679426-p=3
Jean-Claude Juncker,President,Commissioner,,2015-03-02,Bundesverband der Deutschen Industrie e.V. (BDI),1771817758-48,Speaker at BDI (German industry federation) gala dinner,Berlin,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2&d-6679426-p=3
Jean-Claude Juncker,President,Commissioner,,2015-02-26,European Publishers Council (EPC),4456380381-30,Receives CEOs of European Publisher Groups,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2&d-6679426-p=3
Jean-Claude Juncker,President,Commissioner,,2015-02-24,Jens-Peter Bonde,060587815138-96,Meeting with Jens-Peter Bonde,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2&d-6679426-p=3
Jean-Claude Juncker,President,Commissioner,,2015-02-18,Mouvement des Entreprises de France (MEDEF),43763731235-75,Meeting with Mr Pierre Gattaz on the political priorities of this Commission,"Berlaymont, Brussels",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2&d-6679426-p=3
Jean-Claude Juncker,President,Commissioner,,2015-02-16,Atos SE,249876817241-03,Meeting with Thierry Breton on political priorities of this Commission,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2&d-6679426-p=3
Jean-Claude Juncker,President,Commissioner,,2015-01-22,Bill & Melinda Gates Foundation (BMGF),371567915480-41,Meeting with Mr Bill Gates on Global Development matters,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=829436d0-1850-424f-aebe-6dd76c793be2&d-6679426-p=3
Frans Timmermans,Better Regulation,Commissioner,,2015-10-01,Unilever,6200524920-25,Circular Economy,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f
Frans Timmermans,Better Regulation,Commissioner,,2015-10-01,SUEZ,27799842497-69,Circular Economy,"Brussels, Belgium",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f
Frans Timmermans,Better Regulation,Commissioner,,2015-09-24,"Tesla Motors, Inc. (Tesla Motors)",547225616323-13,Clean cars,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f
Frans Timmermans,Better Regulation,Commissioner,,2015-09-01,Centre for European Policy Studies (CEPS),86853666704-95,EU policy current affairs,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f
Frans Timmermans,Better Regulation,Commissioner,,2015-07-09,Platform of European Social NGOs (Social Platform),85083981189-35,Fundamental Rights,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f
Frans Timmermans,Better Regulation,Commissioner,,2015-06-30,Buma/Stemra,56091957679-64,Copyright,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f
Frans Timmermans,Better Regulation,Commissioner,,2015-06-17,Bertelsmann Stiftung,13571025706-27,New Pact for Europe 2015 event - keynote speech,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f
Frans Timmermans,Better Regulation,Commissioner,,2015-06-15,Rainbow Rose (RR),258962912667-77,Gay rights,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f
Frans Timmermans,Better Regulation,Commissioner,,2015-06-11,"McKinsey & Company, Inc. (McKinsey)",099567215966-86,Circular economy,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f
Frans Timmermans,Better Regulation,Commissioner,,2015-06-01,Vereniging VNO-NCW (VNO-NCW),13255254129-80,EFSI,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f
Frans Timmermans,Better Regulation,Commissioner,,2015-06-01,Association Européenne de la Pensée Libre -Europe (AEPL-EU),188133714462-27,Meeting on free thinking,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=2
Frans Timmermans,Better Regulation,Commissioner,,2015-06-01,OSCE,,Freedom of the Media,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=2
Frans Timmermans,Better Regulation,Commissioner,,2015-05-28,Paul Dujardin,,Presentation of Bozar,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=2
Frans Timmermans,Better Regulation,Commissioner,,2015-05-11,Immobel,,Better Regulation,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=2
Frans Timmermans,Better Regulation,Commissioner,,2015-05-05,Platform for International Cooperation on Undocumented Migrants (PICUM),19093363838-48,Upcoming migration agenda,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=2
Frans Timmermans,Better Regulation,Commissioner,,2015-04-30,EURELECTRIC aisbl (EURELECTRIC),4271427696-87,Energy Union,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=2
Frans Timmermans,Better Regulation,Commissioner,,2015-04-20,Eindhoven-Brainport EU Office (Eindhoven-Brianport),770879211019-11,Regional policy and innovation,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=2
Frans Timmermans,Better Regulation,Commissioner,,2015-04-14,Forum of European Muslim Youth and Student organisations (FEMYSO),292913016962-90,Annual Colloquium on the situation of fundamental rights in the EU,"Berlaymont, Brussels",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=2
Frans Timmermans,Better Regulation,Commissioner,,2015-04-14,Federatie Nederlandse Vakbeweging (FNV),848077116912-21,Better regulation and social dialogue,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=2
Frans Timmermans,Better Regulation,Commissioner,,2015-04-13,"Union européenne de l'Artisanat et des petites et moyennes entreprises, aisbl (UEAPME)",55820581197-35,Better regulation / Small Business Act,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=2
Frans Timmermans,Better Regulation,Commissioner,,2015-03-31,Società Italiana per l'Organizzazione Internazionale (SIOI),686668616780-21,SIOI international activities,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=3
Frans Timmermans,Better Regulation,Commissioner,,2015-03-30,European Small Business Alliance (ESBA),97165848130-92,Better regulation and access to finance,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=3
Frans Timmermans,Better Regulation,Commissioner,,2015-03-30,european round table industrial companies,,"Better regulation, digital single market, TTIP",Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=3
Frans Timmermans,Better Regulation,Commissioner,,2015-03-27,Umicore,78662404191-38,Circular economy,Hoboken,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=3
Frans Timmermans,Better Regulation,Commissioner,,2015-03-26,Mouvement des Entreprises de France (MEDEF),43763731235-75,Better regulation,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=3
Frans Timmermans,Better Regulation,Commissioner,,2015-03-23,International Air Transport Association (IATA),1805107590-28,Better Regulation,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=3
Frans Timmermans,Better Regulation,Commissioner,,2015-03-18,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),0014082722-83,Better regulation and TTIP,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=3
Frans Timmermans,Better Regulation,Commissioner,,2015-03-18,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),0014082722-83,Better regulation and TTIP,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=3
Frans Timmermans,Better Regulation,Commissioner,,2015-03-16,"Council of European Employers of the Metal, Engineering and Technology-based Industries (CEEMET)",61370904700-45,Better regulation,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=3
Frans Timmermans,Better Regulation,Commissioner,,2015-03-03,ING Group,12112965774-95,Economic situation / financial services and better regulation,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=3
Frans Timmermans,Better Regulation,Commissioner,,2015-03-03,European Public Health Alliance (EPHA),18941013532-08,Better regulation,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=4
Frans Timmermans,Better Regulation,Commissioner,,2015-03-03,ING Group ,12112965774-95,Better regulation and European affairs,Brussels,True,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=4
Frans Timmermans,Better Regulation,Commissioner,,2015-03-02,International Rescue Committee Inc (IRC),66790095679-26,European affairs,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=4
Frans Timmermans,Better Regulation,Commissioner,,2015-02-27,PostNL Holding B.V. (PostNL),64275283451-34,Better regulation and European affairs in general,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=4
Frans Timmermans,Better Regulation,Commissioner,,2015-02-25,Conseil des Communes et Régions d'Europe (CCRE) ,81142561702-61,Better regulation,Brussels,True,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=4
Frans Timmermans,Better Regulation,Commissioner,,2015-02-23,The European Steel Association (EUROFER),93038071152-83,Better regulation,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=4
Frans Timmermans,Better Regulation,Commissioner,,2015-02-20,Confederación Española de Organizaciones Empresariales (CEOE),02963738854-41,Better regulation,Madrid,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=4
Frans Timmermans,Better Regulation,Commissioner,,2015-02-16,Confédération Générale des Petites et Moyennes Entreprises (CGPME),74081206759-11,Better Regulation,Paris,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=4
Frans Timmermans,Better Regulation,Commissioner,,2015-02-13,Greenpeace European Unit,9832909575-41,Meeting with Representatives of Green 10 on CWP 2015,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=4
Frans Timmermans,Better Regulation,Commissioner,,2015-02-09,RegWatchEurope,394175316305-29,"Meeting with Representatives of RegWatchEurope on better regulation (Regulatory Policy Committee, Nationaler Normenkontrollrat, Regelradet, Regulatory Impact Assessment Board, ACTAL)",Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=4
Frans Timmermans,Better Regulation,Commissioner,,2015-02-04,Royal DSM (DSM) ,73926352722-07,"Mr. A. Nicolai, Digital Single Market",Brussels,True,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=5
Frans Timmermans,Better Regulation,Commissioner,,2015-01-29,Confederation of Danish Industry (DI),5749958415-41,Better regulation,Copenhagen,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=5
Frans Timmermans,Better Regulation,Commissioner,,2015-01-23,Confederation of British Industry (CBI),73725676990-18,Better regulation,Davos,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=5
Frans Timmermans,Better Regulation,Commissioner,,2015-01-23,Facebook Ireland Limited (FB-I) ,28666427835-74,"Meeting with Mrs Sandberg and J. Kaplan, VP Facebook",Davos,True,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=5
Frans Timmermans,Better Regulation,Commissioner,,2015-01-23,International Federation of Red Cross and Red Crescent Societies (IFRC),132236315085-89,"Fundamental rights, security and better regulation",Davos,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=5
Frans Timmermans,Better Regulation,Commissioner,,2015-01-22,World Economic Forum,953426816942-83,Better regulation,Davos,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=5
Frans Timmermans,Better Regulation,Commissioner,,2015-01-22,Heineken N.V.,827688315793-86,Better regulation,Davos,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=5
Frans Timmermans,Better Regulation,Commissioner,,2015-01-22,Liberty Global PLC. (LGI),82853397708-89,Better regulation,Davos,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=5
Frans Timmermans,Better Regulation,Commissioner,,2015-01-22,World Business Council for Sustainable Development,,Sustainable development and better regulation,Davos,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=5
Frans Timmermans,Better Regulation,Commissioner,,2015-01-22,Anheuser-Busch InBev nv/sa (ABI),161157710612-65,Better regulation,Davos,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=5
Frans Timmermans,Better Regulation,Commissioner,,2015-01-15,Human Rights Watch (HRW),56362448807-46,Better regulation and European affairs in general,Sassenheim,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=6
Frans Timmermans,Better Regulation,Commissioner,,2015-01-09,International Federation for Human Rights (FIDH),97628146980-33,Roundtable with NGO's on fundamental rights,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=6
Frans Timmermans,Better Regulation,Commissioner,,2015-01-06,Eindhoven-Brainport EU Office (Eindhoven-Brianport),770879211019-11,Speaker The New Horizon - breaking boundaries,Eindhoven,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=6
Frans Timmermans,Better Regulation,Commissioner,,2014-12-11,Bureau Européen des Unions de Consommateurs (BEUC),9505781573-45,"Consumer policy, better regulation, sustainable development, transparency, ISDS",Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=6
Frans Timmermans,Better Regulation,Commissioner,,2014-12-04,EUROPEAN TRADE UNION CONFEDERATION (ETUC),06698681039-26,"Fundamental rights, better regulation, ISDS",Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=6
Frans Timmermans,Better Regulation,Commissioner,,2014-12-02,Policy Network and Communications Ltd (Policy Network),471036615028-82,"Accelerate growth, reform regulation,",Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=b47bf526-b773-40e7-9392-89d454e0672f&d-6679426-p=6
Federica Mogherini,External Action,Commissioner,,2015-07-22,Human Rights Watch (HRW),56362448807-46,Human rights,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=6e27e5b2-65cf-4733-99b1-0a5e094088c1
Federica Mogherini,External Action,Commissioner,,2015-06-17,Amnesty International European Institutions Office (AI EIO),11063928073-34,Human rights,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=6e27e5b2-65cf-4733-99b1-0a5e094088c1
Federica Mogherini,External Action,Commissioner,,2015-03-04,UniCredit,03094871618-32,Geopolitical developments,"Berlaymont, Brussels",False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=6e27e5b2-65cf-4733-99b1-0a5e094088c1
Federica Mogherini,External Action,Commissioner,,2015-02-03,ChinaEU,395485815776-81,Discussion on economic cooperation in the run up of the Summit,ChinaEu,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=6e27e5b2-65cf-4733-99b1-0a5e094088c1
Kristalina Georgieva,Budget,Commissioner,,2015-07-17,EURANET PLUS,914088116067-37,Meeting with Mr. Erlends Calabuig - Director of EuranetPlus discussing Draft Budget 2016,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=5270d9e0-5945-4d88-99c0-5dfc4757503e
Kristalina Georgieva,Budget,Commissioner,,2015-03-21,Open Society European Policy Institute (OSEPI),8557515321-37,Meeting with George Soros in margins of GMF Forum Brussels,Berlaymont,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=5270d9e0-5945-4d88-99c0-5dfc4757503e
Kristalina Georgieva,Budget,Commissioner,,2015-02-17,Transparency International (TI),501222919-71,"Meeting with Carl Dolan, Director of Transparency International, Brussels office",Berlaymont,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=5270d9e0-5945-4d88-99c0-5dfc4757503e
Kristalina Georgieva,Budget,Commissioner,,2015-01-27,International Rescue Committee Inc (IRC),66790095679-26,Budgetary situation of EU external assistance; hot crises,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=5270d9e0-5945-4d88-99c0-5dfc4757503e
Kristalina Georgieva,Budget,Commissioner,,2015-01-16,Vienna Economic Forum (VEF),927885415117-52,Meeting with Dr Elena Kirtcheva-Discussing eventual participation of VP Georgieva in Vienna Economic Forum,Berlaymont,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=5270d9e0-5945-4d88-99c0-5dfc4757503e
Andrus Ansip,Digital Single Market,Commissioner,,2015-11-05,Fédération des Entreprises du Commerce et de la Distribution (FECD),312806014237-16,"Geoblocking, parcel delivery, data and cloud, e-commerce",Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=57870d0f-2fb5-4f5b-9bea-7f2a661c64ac
Andrus Ansip,Digital Single Market,Commissioner,,2015-11-03,LIBER - Association of European Research Libraries (LIBER),24973952940-04,Text and data mining,Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=57870d0f-2fb5-4f5b-9bea-7f2a661c64ac
Andrus Ansip,Digital Single Market,Commissioner,,2015-11-03,ARD Verbindungsbüro Brüssel,6774178922-55,"Copyright, platforms, audiovisual media services",Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=57870d0f-2fb5-4f5b-9bea-7f2a661c64ac
Andrus Ansip,Digital Single Market,Commissioner,,2015-10-28,RELX Group,338398611148-62,"Copyright, text and data mining",Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=57870d0f-2fb5-4f5b-9bea-7f2a661c64ac
Andrus Ansip,Digital Single Market,Commissioner,,2015-10-28,Association of Commercial Television in Europe (ACT),18574111503-28,"Copyright, Sat-Cab and AVMS directives review",Brussels,False,http://ec.europa.eu/transparencyinitiative/meetings/meeting.do?host=57870d0f-2fb5-4f5b-9bea-7f2a661c64ac
