total listes,nom,couleur politique
1,NORMANDIE BLEU MARINE,FN
1,NORMANDIE ECOLOGIE,VEC
1,Nos vies d'abord !,FG
1,NOS VIES D'ABORD ! égalité écologie dignité citoyenneté Pierre LAURENT Eric COQUEREL Clémentine AUTAIN,FG
1,"NOTRE CHANCE, L'INDEPENDANCE",REG
1,NOTRE REGION D'AVANCE,UG
1,"NOTRE REGION, NOTRE FIERTE",UG
1,"Notre Sud, une région forte, créative et solidaire - liste conduite par Carole DELGA",UG
1,NOU PEP LA,REG
1,"NOUS, C'EST LA RÉGION",UG
1,NOUS CITOYENS,DVD
1,NOUS CITOYENS POUR L'ILE DE FRANCE,DVD
1,NOUS SOMMES GUYANE,REG
1,NOUVEAU MONDE EN COMMUN Liste conduite par Gérard ONESTA,VEG
1,NOUVELLE ALLIANCE POUR LA GUADELOUPE,REG
1,NOUVELLE DONNE NORMANDIE,DVG
1,NOUVELLE DONNE : REPRENEZ LA MAIN !,DVG
1,OSONS MIEUX AVEC FRANÇOISE COUTANT - LISTE ECOLOGISTE ET CITOYENNE,VEC
1,OUI A LA GUADELOUPE,DVD
1,OUI LA BRETAGNE,REG
1,Partageons plus qu'une région,VEC
1,"PLUS FORTS, PLUS SOLIDAIRES, ENSEMBLE",UG
1,"POU BA GWADLOUP ON DÔT DIREKSION, ON DÔT BALAN",COM
1,POUR LA BRETAGNE AVEC JEAN-YVES LE DRIAN,UG
1,pour une bretagne sociale et écologique: l'humain d'abord,FG
1,Pour une Guyane audacieuse,DVG
1,POUR UNE NOUVELLE DONNE REGIONALE,DVG
1,Pour une NOUVELLE VISION de la Guyane française : un STATUT ambitieu et cohérent,REG
1,Pour vous,UG
1,PRIMA A CORSICA,DVG
1,Rassembler avec l'Humain au Centre - Val de Loire,COM
1,RASSEMBLER POUR LA CORSE / UNITI PER A CORSICA,DVD
1,REUNIONNAIS LIBRES POUR UNE REUNION RESPONSABLE,DVD
1,REUNIONNOUS,UD
1,RINNOVU,REG
1,"TOUS UNIS POUR LES PAYS DE LA LOIRE, LA GAUCHE ET LES ECOLOGISTES AVEC CHRISTOPHE CLERGEAU",UG
1,UNE AUTRE VOIE POUR LA BRETAGNE,VEC
1,UNE RÉGION FIÈRE ET ENRACINÉE,FN
1,Union des Démocrates Musulmans Français,DIV
1,UNION DES DROITES,EXD
1,UNION DES FORCES DE PROGRES POUR LE DEVELOPPEMENT ET L'EGALITE,DVG
1,Unissons nos énergies avec Philippe RICHERT,UD
1,"Un territoire, une collectivité, un destin",DVG
1,"VOTER, SE REVOLTER, POUR AVANCER",DVG
1,"WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE",UD
