coname,filingdate,filename
SOUTHWESTERN ENERGY CO,20140227,0000007332-14-000004
ST MARY LAND & EXPLORATION CO,20090224,0000893538-09-000012
ST MARY LAND & EXPLORATION CO,20100224,0000893538-10-000011
STONE ENERGY CORP,20090227,0000950134-09-003893
STONE ENERGY CORP,20100225,0000950123-10-017145
STONE ENERGY CORP,20110303,0000950123-11-021636
STONE ENERGY CORP,20120227,0001193125-12-081922
STONE ENERGY CORP,20130227,0001193125-13-080089
STONE ENERGY CORP,20140227,0001193125-14-071777
SULPHCO INC,20090306,0001144204-09-012650
SULPHCO INC,20100225,0001144204-10-009942
SULPHCO INC,20110331,0001144204-11-019065
SUNOCO INC,20090225,0001193125-09-037075
SUNOCO INC,20100224,0001193125-10-038658
SUNOCO INC,20110228,0001193125-11-050224
SUNOCO INC,20120228,0001193125-12-085407
SUPERIOR ENERGY SERVICES INC,20090227,0000950129-09-000659
SUPERIOR ENERGY SERVICES INC,20100226,0000950123-10-017930
SUPERIOR ENERGY SERVICES INC,20110225,0000950123-11-018483
SUPERIOR ENERGY SERVICES INC,20120228,0001193125-12-084721
SUPERIOR ENERGY SERVICES INC,20130228,0001193125-13-082953
SUPERIOR ENERGY SERVICES INC,20140227,0001193125-14-072228
"Superior Well Services, INC",20090313,0000950152-09-002610
"Superior Well Services, INC",20100309,0000950123-10-022634
SWIFT ENERGY CO,20090227,0000351817-09-000004
SWIFT ENERGY CO,20100226,0000351817-10-000006
SWIFT ENERGY CO,20110224,0000351817-11-000012
SWIFT ENERGY CO,20120223,0000351817-12-000006
SWIFT ENERGY CO,20130222,0000351817-13-000007
SWIFT ENERGY CO,20140303,0000351817-14-000009
SYNTROLEUM CORP,20090302,0001362310-09-003048
SYNTROLEUM CORP,20100226,0000950123-10-018044
SYNTROLEUM CORP,20110315,0000950123-11-025366
SYNTROLEUM CORP,20120306,0001193125-12-099278
SYNTROLEUM CORP,20130315,0001193125-13-109891
SYNTROLEUM CORP,20140313,0001193125-14-097644
T-3 ENERGY SERVICES INC,20090302,0000950134-09-004157
T-3 ENERGY SERVICES INC,20100305,0000950123-10-021686
TESCO CORP,20090227,0001193125-09-040796
TESCO CORP,20100308,0001022705-10-000052
TESCO CORP,20110301,0001022705-11-000003
TESCO CORP,20120302,0001022705-12-000009
TESCO CORP,20130305,0001022705-13-000018
TESCO CORP,20140304,0001022705-14-000018
TESORO CORP /NEW/,20090302,0000950134-09-004250
TESORO CORP /NEW/,20100301,0000950123-10-019215
TESORO CORP /NEW/,20110301,0000950123-11-020449
TESORO CORP /NEW/,20120224,0000050104-12-000020
TESORO CORP /NEW/,20130222,0000050104-13-000019
TESORO CORP /NEW/,20140224,0000050104-14-000013
TETRA TECHNOLOGIES INC,20090302,0000844965-09-000010
TETRA TECHNOLOGIES INC,20100301,0000844965-10-000010
TETRA TECHNOLOGIES INC,20110301,0000844965-11-000022
TETRA TECHNOLOGIES INC,20120229,0000844965-12-000020
TETRA TECHNOLOGIES INC,20130304,0000844965-13-000017
TETRA TECHNOLOGIES INC,20140303,0000844965-14-000022
TGC INDUSTRIES INC,20090316,0001104659-09-017936
TGC INDUSTRIES INC,20100316,0001104659-10-014581
TGC INDUSTRIES INC,20110318,0001104659-11-015399
TGC INDUSTRIES INC,20120315,0001104659-12-018471
TGC INDUSTRIES INC,20130315,0001104659-13-021268
TGC INDUSTRIES INC,20140317,0001104659-14-020007
TOREADOR RESOURCES CORP,20090316,0001047469-09-002737
TOREADOR RESOURCES CORP,20100316,0001047469-10-002309
TOREADOR RESOURCES CORP,20110316,0001157523-11-001609
TRANSATLANTIC PETROLEUM CORP.,20090401,0001193125-09-070777
TRANSATLANTIC PETROLEUM LTD.,20100331,0001193125-10-073420
TRANSATLANTIC PETROLEUM LTD.,20110421,0001193125-11-105331
TRANSATLANTIC PETROLEUM LTD.,20120323,0001193125-12-128943
TRANSATLANTIC PETROLEUM LTD.,20130516,0001193125-13-222765
TRANSATLANTIC PETROLEUM LTD.,20140313,0001193125-14-098045
TRANSOCEAN INC,20090226,0001083269-09-000003
TRI VALLEY CORP,20090330,0001162677-09-000074
TRI VALLEY CORP,20100329,0001162677-10-000060
TRI VALLEY CORP,20110322,0001162677-11-000056
TRI VALLEY CORP,20120416,0001157523-12-001831
Triangle Petroleum Corp,20090409,0001144204-09-019656
Triangle Petroleum Corp,20100409,0001144204-10-019309
Triangle Petroleum Corp,20110419,0001144204-11-022988
Triangle Petroleum Corp,20120416,0001144204-12-021598
Triangle Petroleum Corp,20130501,0001104659-13-035499
Triangle Petroleum Corp,20140417,0001047469-14-003862
TXCO Resources Inc,20090316,0000313395-09-000007
ULTRA PETROLEUM CORP,20090223,0000950129-09-000482
ULTRA PETROLEUM CORP,20100226,0000950123-10-018286
ULTRA PETROLEUM CORP,20110224,0000950123-11-017883
ULTRA PETROLEUM CORP,20120217,0001193125-12-067172
ULTRA PETROLEUM CORP,20130220,0001193125-13-067295
ULTRA PETROLEUM CORP,20140225,0001193125-14-067069
UNION DRILLING INC,20090312,0001193125-09-052378
UNION DRILLING INC,20100305,0001193125-10-048760
UNION DRILLING INC,20110304,0001193125-11-056040
UNION DRILLING INC,20120308,0001193125-12-103133
UNIT CORP,20090224,0001193125-09-036064
UNIT CORP,20100223,0001193125-10-037350
UNIT CORP,20110224,0001193125-11-044656
UNIT CORP,20120223,0001193125-12-074271
UNIT CORP,20130226,0000798949-13-000006
UNIT CORP,20140225,0000798949-14-000007
US ENERGY CORP,20090313,0000101594-09-000017
US ENERGY CORP,20100312,0000101594-10-000013
US ENERGY CORP,20110314,0000101594-11-000018
US ENERGY CORP,20120314,0000101594-12-000017
US ENERGY CORP,20130318,0000101594-13-000008
US ENERGY CORP,20140312,0000101594-14-000007
VAALCO ENERGY INC /DE/,20090316,0001193125-09-055533
VAALCO ENERGY INC /DE/,20100316,0001193125-10-058345
VAALCO ENERGY INC /DE/,20110314,0001193125-11-065764
VAALCO ENERGY INC /DE/,20120312,0001193125-12-109747
VAALCO ENERGY INC /DE/,20130314,0001193125-13-107662
VAALCO ENERGY INC /DE/,20140313,0001564590-14-000736
VALERO ENERGY CORP/TX,20090227,0000950134-09-003971
VALERO ENERGY CORP/TX,20100226,0000950123-10-018097
VALERO ENERGY CORP/TX,20110225,0001035002-11-000013
VALERO ENERGY CORP/TX,20120224,0001035002-12-000008
VALERO ENERGY CORP/TX,20130228,0001035002-13-000008
VALERO ENERGY CORP/TX,20140227,0001035002-14-000008
Vantage Drilling CO,20090313,0001140361-09-006846
Vantage Drilling CO,20100316,0001193125-10-058475
Vantage Drilling CO,20110316,0001193125-11-068725
Vantage Drilling CO,20120315,0001193125-12-117368
Vantage Drilling CO,20130215,0001193125-13-062673
Vantage Drilling CO,20140228,0001564590-14-000453
"Venoco, Inc.",20090305,0001047469-09-002234
"Venoco, Inc.",20100225,0001047469-10-001267
"Venoco, Inc.",20110222,0001047469-11-001083
"Venoco, Inc.",20120216,0001047469-12-001085
"Venoco, Inc.",20130415,0001047469-13-004374
"Voyager Oil & Gas, Inc.",20110314,0001047469-11-002125
"Voyager Oil & Gas, Inc.",20120313,0001144204-12-014643
W&T OFFSHORE INC,20090302,0001193125-09-042118
W&T OFFSHORE INC,20100301,0001193125-10-044607
W&T OFFSHORE INC,20110304,0001193125-11-055941
W&T OFFSHORE INC,20120227,0001193125-12-081514
W&T OFFSHORE INC,20130227,0001193125-13-079296
W&T OFFSHORE INC,20140307,0001564590-14-000635
WARREN RESOURCES INC,20090302,0001047469-09-002108
WARREN RESOURCES INC,20100303,0001047469-10-001756
WARREN RESOURCES INC,20110302,0001047469-11-001666
WARREN RESOURCES INC,20120306,0001047469-12-002166
WARREN RESOURCES INC,20130306,0001047469-13-002288
WARREN RESOURCES INC,20140306,0001047469-14-001905
WEATHERFORD INTERNATIONAL LTD,20090224,0000950129-09-000543
"Western Refining, Inc.",20090313,0000950134-09-005333
"Western Refining, Inc.",20100312,0000950123-10-023725
"Western Refining, Inc.",20110308,0000950123-11-022783
"Western Refining, Inc.",20120229,0001445305-12-000548
"Western Refining, Inc.",20130301,0001339048-13-000011
"Western Refining, Inc.",20140303,0001339048-14-000020
WHITING PETROLEUM CORP,20090225,0001255474-09-000003
WHITING PETROLEUM CORP,20100301,0001255474-10-000002
WHITING PETROLEUM CORP,20110224,0001255474-11-000004
WHITING PETROLEUM CORP,20120223,0001255474-12-000005
WHITING PETROLEUM CORP,20130228,0001255474-13-000005
WHITING PETROLEUM CORP,20140228,0001255474-14-000005
WILLBROS GROUP INC,20090226,0001144204-09-010919
WORLD FUEL SERVICES CORP,20090226,0001193125-09-039256
WORLD FUEL SERVICES CORP,20100225,0001193125-10-040758
WORLD FUEL SERVICES CORP,20110224,0001193125-11-045452
WORLD FUEL SERVICES CORP,20120223,0001047469-12-001378
WORLD FUEL SERVICES CORP,20130221,0001047469-13-001398
WORLD FUEL SERVICES CORP,20140214,0001047469-14-000906
WPT ENTERPRISES INC,20090306,0001104659-09-015104
"WPX ENERGY, INC.",20120228,0001193125-12-085305
"WPX ENERGY, INC.",20130228,0001193125-13-084857
"WPX ENERGY, INC.",20140227,0001518832-14-000011
XTO ENERGY INC,20090225,0001193125-09-037189
XTO ENERGY INC,20100225,0001193125-10-040348
ZaZa Energy Corp,20120615,0001047469-12-006650
ZaZa Energy Corp,20130402,0001528393-13-000031
ZaZa Energy Corp,20140331,0001104659-14-024530
ZION OIL & GAS INC,20090331,0001144204-09-017188
ZION OIL & GAS INC,20100316,0001144204-10-013895
ZION OIL & GAS INC,20110316,0001144204-11-015330
ZION OIL & GAS INC,20120307,0001144204-12-013556
ZION OIL & GAS INC,20130312,0001144204-13-014596
ZION OIL & GAS INC,20140306,0001213900-14-001297
