status,unregistered,guest,title,participants,cabinet,guestid,host,date,id,guest_contact_country,guest_code,guest_name,guest_cost_min,guest_main_category,guest_acronym,guest_accredited,guest_cost_max,guest_fte,guest_cost_absolute,guest_id,guest_sub_category
registered,,,Energy Union,1,Cabinet members of President Jean-Claude Juncker,962529ab26a74715adf1b10857964dc3,Telmo Baltazar,2015-03-24T00:00:00,61bcecaa9f6e7d0698cac0dd8d231308,233,618254915321-39,University of Cambridge Institute for Sustainability Leadership,25000,4,CISL,3,49999,5,,962529ab26a74715adf1b10857964dc3,42
registered,,,Digital Single Market,1,Cabinet members of President Jean-Claude Juncker,e2934f69ddc24028bba1714d28138903,Pauline Rouch,2015-03-24T00:00:00,f44a159f989a4fb8052ea6c2cb35eb7f,155,770007812381-96,Europeana Foundation,,3,Europeana,2,9999,1,,e2934f69ddc24028bba1714d28138903,31
registered,,,Transport,1,Cabinet members of President Jean-Claude Juncker,55c9ed0482cf45eeb50dddb13b769de8,Telmo Baltazar,2015-03-23T00:00:00,dbb69932644eb13ceb3c93f7105eac03,75,706757116552-08,VINCI Concessions,,2,,,,2,120000,55c9ed0482cf45eeb50dddb13b769de8,21
registered,,,Handing over of calendar,1,Cabinet members of President Jean-Claude Juncker,016a35ac50f040c4ae2d250c103c4e43,Sandra Kramer,2015-03-20T00:00:00,9bc0b1ec9e54f7c6c8b1143ebf939ae7,21,9155503593-86,Burson-Marsteller,5000000,1,,32,5249999,35,,016a35ac50f040c4ae2d250c103c4e43,11
registered,,,Digital Single Market,1,Cabinet members of President Jean-Claude Juncker,cfd4410dca1549149f1346bb3d11aa39,Pauline Rouch,2015-03-18T00:00:00,5f3f26d00ce6659ce0ecc71a5da97240,75,005930614727-54,Fédération Française des Télécoms,,2,FFTélécoms,,,1,10000,cfd4410dca1549149f1346bb3d11aa39,25
registered,,,"Jobs, Growth and Innovation in Europe",1,Cabinet members of President Jean-Claude Juncker,dd2395619bad43ebbf3170008fe33fdc,Luc Tholoniat,2015-03-18T00:00:00,6b05e2515bae3934daf1b702a08e9770,233,732259614632-44,Tata Limited,,2,,,9999,0.5,,dd2395619bad43ebbf3170008fe33fdc,21
registered,,,Digital Single Market,1,Cabinet members of President Jean-Claude Juncker,6ca65f0cfbdd489d8ef6dc9c25c52a04,Pauline Rouch,2015-03-17T00:00:00,dd8629b03f424fa559ec2f96afdfe0c8,127,366117914426-10,Amazon Europe Core SARL,600000,2,,7,699999,2.75,,6ca65f0cfbdd489d8ef6dc9c25c52a04,21
registered,,,Digital Single Market,1,Cabinet members of President Jean-Claude Juncker,c575d6b6a9754331933efb576034aefb,Pauline Rouch,2015-03-17T00:00:00,2c9ec29af5512ae06dc21d3a8aea6538,214,365747616583-15,Spotify AB,10000,2,,,24999,0.25,,c575d6b6a9754331933efb576034aefb,21
registered,,,Priorities of the new Commission,1,Cabinet members of President Jean-Claude Juncker,31dff98c7c6d454d948737002ef16b9e,Paulina Dejmek Hack,2015-03-16T00:00:00,d706bc2b448d0955fc169838666a79ca,21,5199259747-21,PensionsEurope,600000,2,,4,699999,3.75,,31dff98c7c6d454d948737002ef16b9e,25
registered,,,Digital Single Market,2,Cabinet members of President Jean-Claude Juncker,a9b40d229fdc4096b448849552ab0900,Pauline Rouch,2015-03-12T00:00:00,7c9043c380b6d1d2f2db98e980641276,21,37937886834-69,European Magazine Media Association,400000,2,EMMA,3,499999,4.75,,a9b40d229fdc4096b448849552ab0900,25
registered,,,Digital Single Market,2,Cabinet members of President Jean-Claude Juncker,c48b5be6853f4085bfc0fd935b13d3e8,Pauline Rouch,2015-03-12T00:00:00,7c9043c380b6d1d2f2db98e980641276,21,5950962136-12,European Newspaper Publishers' Association,,2,ENPA,2,,3,650000,c48b5be6853f4085bfc0fd935b13d3e8,25
registered,,,European Semester,1,Cabinet members of President Jean-Claude Juncker,aac5ca5c751449f78d0c706904a23cd3,Antoine Kasel,2015-03-06T00:00:00,cb29fdd73b308d4f9b9e08868caa9daf,21,1414929419-24,WWF European Policy Programme,1000000,3,WWF EPO,10,1249999,12.75,,aac5ca5c751449f78d0c706904a23cd3,31
registered,,,Tax issues,1,Cabinet members of President Jean-Claude Juncker,303384f8658c4c75be9abcb180b00bdc,Antoine Kasel,2015-03-06T00:00:00,d6d86aa0f2e97df28e3029ed77bff034,21,1894704851-83,European Express Association,,2,EEA,,,3,800000,303384f8658c4c75be9abcb180b00bdc,25
registered,,,Digital Single Market,1,Cabinet members of President Jean-Claude Juncker,e60131c3a23043db98567453bcbb11d8,Pauline Rouch,2015-03-03T00:00:00,2f0e56a3e12c85195143e736b0e475e0,155,487726915971-30,Netflix International,,2,,,,0.75,,e60131c3a23043db98567453bcbb11d8,21
registered,,,Climate Action and Energy,1,Cabinet members of President Jean-Claude Juncker,a1f2638c81034e07a2ab3ed2c54e6097,Telmo Baltazar,2015-03-03T00:00:00,13632fe0afb9d2c7331c1768af0ef739,155,64869491516-70,European Climate Foundation,300000,3,ECF,8,399999,3.75,,a1f2638c81034e07a2ab3ed2c54e6097,31
registered,,,GMO review,1,Cabinet members of President Jean-Claude Juncker,553809c289c74395993953b64d407835,Leon Delvaux,2015-03-03T00:00:00,1490627867968af8c7ee97e327c1d388,21,9832909575-41,Greenpeace European Unit,1000000,3,,13,1249999,7.25,,553809c289c74395993953b64d407835,31
registered,,,European Economic Recovery,1,Cabinet members of President Jean-Claude Juncker,d2f4f9f3921b45a0ab3330b84dfec128,Martin Selmayr,2015-02-27T00:00:00,39f5dc69ba313a9f12b466f637a9ae90,82,099567215966-86,"McKinsey & Company, Inc.",,1,McKinsey,,9999,0.25,,d2f4f9f3921b45a0ab3330b84dfec128,11
registered,,,General developments in digitalisation,1,Cabinet members of President Jean-Claude Juncker,1c65fd9f827b42048971e4da4ae1eb94,Sandra Kramer,2015-02-27T00:00:00,e2f8979f0347ea58367c191ba026bd79,234,494613715191-85,Cisco Systems Inc.,,2,Cisco,6,9999,4,,1c65fd9f827b42048971e4da4ae1eb94,21
registered,,,Working lunch,1,Cabinet members of President Jean-Claude Juncker,85a8f63925ff4982b3637cd7809fb751,Pauline Rouch Martin Selmayr,2015-02-26T00:00:00,ef8009e4a4a0e7cebb097a4284bc6fe9,233,4456380381-30,European Publishers Council,400000,2,EPC,,499999,3.25,,85a8f63925ff4982b3637cd7809fb751,25
registered,,,Digital Single Market,1,Cabinet members of President Jean-Claude Juncker,f4adfc02d5fb4e9ca729dcd67fd56251,Pauline Rouch,2015-02-19T00:00:00,40e40f9573fb4cf2f33bdbde486321d7,21,16094042309-21,LVMH Publica,1500000,2,LVMH Publica,5,1999999,3.75,,f4adfc02d5fb4e9ca729dcd67fd56251,21
registered,,,Trade,1,Cabinet members of President Jean-Claude Juncker,0c8ebebcfc2f4e3eb6a6684f3d35d3db,Leon Delvaux,2015-02-18T00:00:00,d33cf5899636a97aae82c4611d536b7a,127,23527541824-60,ArcelorMittal,1500000,2,AM,3,1749000,4,,0c8ebebcfc2f4e3eb6a6684f3d35d3db,21
registered,,,Digital Single Market,4,Cabinet members of President Jean-Claude Juncker,432a3437019f48f3b5de719fdb01900a,Pauline Rouch,2015-02-17T00:00:00,24e73140873b53b20b169a4e31aba5fc,233,98661678209-02,Channel 4,10000,2,,1,24999,1,,432a3437019f48f3b5de719fdb01900a,21
registered,,,Digital Single Market,4,Cabinet members of President Jean-Claude Juncker,ad9c41f3b1ed4f98b917c64ffe23a361,Pauline Rouch,2015-02-17T00:00:00,24e73140873b53b20b169a4e31aba5fc,21,6774178922-55,ARD Verbindungsbüro Brüssel,400000,2,,3,499999,3.75,,ad9c41f3b1ed4f98b917c64ffe23a361,25
registered,,,Digital Single Market,4,Cabinet members of President Jean-Claude Juncker,c0d3ea246e3a4f89a28a77737ca5b19e,Pauline Rouch,2015-02-17T00:00:00,24e73140873b53b20b169a4e31aba5fc,233,336906714921-03,British Broadcasting Corporation,50000,2,BBC,,99999,2,,c0d3ea246e3a4f89a28a77737ca5b19e,27
