id,status,guest,host,cabinet,date,guestid,title,unregistered,participants
2f0e56a3e12c85195143e736b0e475e0,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-03-03T00:00:00,e60131c3a23043db98567453bcbb11d8,Digital Single Market,,1
13632fe0afb9d2c7331c1768af0ef739,registered,,Telmo Baltazar,Cabinet members of President Jean-Claude Juncker,2015-03-03T00:00:00,a1f2638c81034e07a2ab3ed2c54e6097,Climate Action and Energy,,1
1490627867968af8c7ee97e327c1d388,registered,,Leon Delvaux,Cabinet members of President Jean-Claude Juncker,2015-03-03T00:00:00,553809c289c74395993953b64d407835,GMO review,,1
39f5dc69ba313a9f12b466f637a9ae90,registered,,Martin Selmayr,Cabinet members of President Jean-Claude Juncker,2015-02-27T00:00:00,d2f4f9f3921b45a0ab3330b84dfec128,European Economic Recovery,,1
e2f8979f0347ea58367c191ba026bd79,registered,,Sandra Kramer,Cabinet members of President Jean-Claude Juncker,2015-02-27T00:00:00,1c65fd9f827b42048971e4da4ae1eb94,General developments in digitalisation,,1
ef8009e4a4a0e7cebb097a4284bc6fe9,registered,,Pauline Rouch Martin Selmayr,Cabinet members of President Jean-Claude Juncker,2015-02-26T00:00:00,85a8f63925ff4982b3637cd7809fb751,Working lunch,,1
40e40f9573fb4cf2f33bdbde486321d7,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-02-19T00:00:00,f4adfc02d5fb4e9ca729dcd67fd56251,Digital Single Market,,1
d33cf5899636a97aae82c4611d536b7a,registered,,Leon Delvaux,Cabinet members of President Jean-Claude Juncker,2015-02-18T00:00:00,0c8ebebcfc2f4e3eb6a6684f3d35d3db,Trade,,1
24e73140873b53b20b169a4e31aba5fc,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-02-17T00:00:00,432a3437019f48f3b5de719fdb01900a,Digital Single Market,,4
24e73140873b53b20b169a4e31aba5fc,registered,,Pauline Rouch,Cabinet members of President Jean-Claude Juncker,2015-02-17T00:00:00,ad9c41f3b1ed4f98b917c64ffe23a361,Digital Single Market,,4
